date,time,section,calorie_acc,calorie,protein_acc,pro_acc_clean,protein,carb,fat,distance,type,note
2024-11-04,00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,01:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,02:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,03:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,04:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,04:41,WALK,-508.0,-508.0,0.0,0.0,0.0,0.0,0.0,"8,93",0,15
2024-11-04,05:00,0,-508.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,06:00,0,-508.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,07:00,0,-508.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,07:30,0,92.0,600.0,25.0,25.0,25.0,37.0,35.0,0,0,Porridge
2024-11-04,08:00,0,92.0,0.0,25.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,09:00,0,92.0,0.0,25.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,10:00,0,92.0,0.0,25.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,11:00,0,92.0,0.0,25.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,11:01,0,692.0,600.0,50.0,50.0,25.0,37.0,35.0,0,0,Porridge
2024-11-04,11:21,WALK,238.0,-454.0,50.0,0.0,0.0,0.0,0.0,"7,65",0,19
2024-11-04,12:00,0,238.0,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,13:00,0,238.0,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,13:22,BIKE,50.0,-188.0,50.0,0.0,0.0,0.0,0.0,0,RMP,1
2024-11-04,14:00,STR,-175.0,-225.0,50.0,0.0,0.0,0.0,0.0,0,BODYPUMP,0
2024-11-04,14:00,0,-175.0,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,15:00,0,-175.0,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,16:00,0,-175.0,0.0,50.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,16:01,0,325.0,500.0,77.0,95.0,27.0,26.0,30.0,0,0,"Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella"
2024-11-04,16:30,0,1215.0,890.0,95.0,95.0,18.0,175.0,13.0,0,0,"Protein bars, candy"
2024-11-04,17:00,0,1215.0,0.0,95.0,0.0,0.0,0.0,0.0,0,0,0
2024-11-04,18:00,0,1215.0,0.0,95.0,0.0,0.0,0.0,0.0,0,0,0
